accession	long	lat	4k	6k	ratio
6740	-73.4675	40.8585	789.27	797.53	0.989643023
6744	-73.4675	40.8585	134.64	131.21	1.0261413
6749	-76.5072	42.4489	736.36	725.5	1.014968987
6750	-76.5072	42.4489	731.97	750.87	0.974829198
680	-72.8615	40.9447	879.96	896.23	0.981846178
6805	-71.0627	42.373	608.13	608.63	0.999178483
6806	-71.0627	42.373	687.94	682.65	1.007749213
681	-72.8615	40.9447	408.76	418.84	0.975933531
6814	-86.621	41.2816	426.61	426.31	1.000703713
6830	73.1	49.5	1016.02	643.95	1.577793307
685	-73.1493	40.9064	900.36	912.77	0.986404023
687	-73.1493	40.9064	318.42	324.88	0.980115735
6897	1.3	45	142.78	149.27	0.956521739
6898	4.4	51.2167	175.55	97.41	1.802176368
6903	16.2326	49.4013	459.69	259.56	1.771035599
6904	16.6166	49.2	2746.44	1590.86	1.726386986
6907	-0.6383	51.4083	432.36	433.2	0.998060942
6908	-0.6383	51.4083	654.62	388.09	1.686773687
6909	-92.3	38.3	726.92	772.26	0.941289203
6911	-23.6167	15.1111	606.8	361.92	1.676613616
6915	6.3	50.3	432.84	230.83	1.875146211
6919	8	50.3	247.35	259.47	0.953289398
6920	9.9355	51.5338	729.77	789.82	0.923970018
6922	8	50.3	195.5	205.21	0.952682618
6923	-0.6383	51.4083	484.48	501.92	0.965253427
6924	-0.6383	51.4083	142.47	86.44	1.64819528
6926	-85.37	44.46	287.61	291.48	0.986722931
6927	-86.621	41.2816	505.16	528.49	0.955855362
6929	68.49	38.48	207.04	116.63	1.775186487
6931	73.1	49.5	260.14	157.03	1.656626122
6932	10.8719	47.984	371.44	225.76	1.64528703
6933	2.49	41.59	1262.59	1388.27	0.90947006
6938	37.6322	55.7522	473.33	264.74	1.787905114
6940	8.3	50.3	206.04	122.81	1.677713541
6943	-0.6383	51.4083	927.55	954.15	0.972121784
6944	-0.6383	51.4083	767.78	479.17	1.602312332
6945	4.45	52.24	491.07	279.25	1.758531782
6951	16.36	49.42	239.94	143.48	1.672288821
6956	16.36	49.42	676.33	384.5	1.758985696
6957	16.36	49.42	262.28	158.76	1.652053414
6958	3.3	46	612.3	617.54	0.99151472
6959	-1.41	48.5	521.89	568.51	0.917996165
6960	-1.41	48.5	347.79	351.64	0.989051302
6961	-3.53333	38.3333	713.08	696.67	1.023554911
6963	68.48	38.35	173.42	97.18	1.784523565
6966	-0.6383	51.4083	283.43	171.12	1.656323048
6967	-0.6383	51.4083	415.71	231.9	1.792626132
6969	23.5	60	578.13	342.33	1.688809044
6970	2.93056	41.7194	202.25	192.5	1.050649351
6971	2.93056	41.7194	467.02	459.93	1.015415389
6974	17.898516	62.7920572	1001.83	602.58	1.662567626
6975	14.45	48.3	264.25	159.59	1.655805502
6976	14.45	48.3	683.88	710.29	0.962818004
6979	8.26	47.25	647.32	651.17	0.994087565
6981	30	52.3	201.24	116.77	1.723387856
6982	9.3	52.3	121.94	68.16	1.789025822
6984	16.2544	49.3853	409.12	228.67	1.789128438
6986	-2.2207	57.1539	563.12	561.87	1.002224714
6987	7.62551	48.0683	131.65	81.37	1.617918152
6989	-2.4333	54.8	275.19	154.69	1.778977309
6990	5.73	53.448	471.76	462.28	1.020507052
6992	5.3	50.3	218.86	228.5	0.957811816
6997	5.5833	51.8333	291.17	166.88	1.744786673
7000	9.57073	50.9167	360.02	359.81	1.000583641
7002	6.1	51.3333	1777.28	1771.9	1.003036289
7003	7.5	47.5	215.62	122.69	1.757437444
7008	5.675	52	182.68	167	1.093892216
7013	13.287	52.4584	104.6	63.26	1.653493519
7014	-4.79821	56.5459	1499.22	1452.47	1.032186551
7025	11.3396	44.5041	184.79	113.47	1.628536177
7026	-3.2667	54.4	376.33	226.27	1.663189994
7028	9.3166	49.5166	371.55	363.29	1.022736657
7031	8.6667	50.0167	198.25	231.14	0.857705287
7033	-122.755	41.3599	257.32	266.72	0.964757049
7036	9.5	50.5	701.3	387.14	1.811489384
7061	-1.64293	53.2699	538.98	289.2	1.863692946
7062	8.26607	50.2981	703.96	687.7	1.023644031
7064	1.1	51.3	232.2	238.14	0.975056689
7068	12.1	42	246.68	241.63	1.020899723
7071	1.33867	48.0717	253.66	261.47	0.970130416
7072	34.7361	53.7502	189.91	107.07	1.773699449
7077	-8.25	40.12	157.87	166.74	0.946803407
7081	-8.42639	40.2077	485.85	494.44	0.98262681
7092	2.823	49.416	259.02	150.7	1.718779031
7094	8.65081	49.8724	191.52	172.88	1.107820453
7096	5.04278	47.3239	134.06	77.34	1.733385053
7102	8.2372	50.7224	2086.11	1967.77	1.060139142
7103	16.2667	49.4167	186.31	109.06	1.708325692
7106	13.7336	51.051	203.49	208.15	0.977612299
7107	-1.5733	54.7761	161.06	159.49	1.009843877
7109	0.5	51.3	264.89	265.45	0.997890375
7117	9.68253	51.5105	550.8	558.27	0.986619378
7119	8.5	50	236.73	136.56	1.733523726
7120	8.5	50	278.34	162.54	1.712440015
7125	11.0087	49.5955	678.75	359.87	1.886097758
7126	24.5682	60.1997	297.41	319.42	0.931093858
7127	24.9871	58.6656	197.14	210.93	0.934622861
7130	2.56481	44.6447	753.35	758.38	0.993367441
7133	8.6822	50.1102	200.17	195.3	1.024935996
7138	8.0167	50.5	351.27	350.11	1.003313244
7143	5.86667	51.0167	357.59	368.94	0.96923619
7147	8.67825	50.584	253.82	239.2	1.061120401
7158	15.5	47	149.71	144.43	1.036557502
7160	-85.2532	43.178	160.23	160.48	0.998442173
7161	10.5	53.5	254.87	155.27	1.641463258
7162	9.44	52.24	130.3	77.34	1.684768554
7163	9.73569	52.3721	214.15	225.82	0.948321672
7164	12.5686	55.675	128.6	77.55	1.658284977
7165	8.28844	51.3472	169.56	171.29	0.989900169
7169	9.88682	54.4175	238.79	128.45	1.859011288
7177	15	49	203.6	115.94	1.756080731
7181	11.587	50.927	187.64	198.38	0.945861478
7183	77	35	656.27	672.1	0.976446957
7192	-5.66364	55.6395	161.52	86.66	1.86383568
7199	6.9666	50.95	536.07	529.16	1.013058432
7202	8.50861	50.1797	454.83	468.97	0.969848818
7203	11.5722	49.631	652.44	379.1	1.721023477
7207	135.752	35.0085	273.66	158.23	1.729507679
7208	-3.78181	55.6739	1778.66	1212.1	1.46742018
7209	15.2333	52.7333	468.7	274.35	1.708401677
7217	0.5	48	178.46	105.92	1.684856495
7218	4.49015	52.1611	174.76	106.03	1.64821277
7223	8.0666	50.3833	157.78	99.07	1.592611285
7231	8.0666	50.3833	155.48	151.32	1.027491409
7244	8.26664	50.001	151.25	86.94	1.739705544
7248	-70.6652	41.3923	214.8	213.17	1.007646479
7250	10.1138	51.9183	287.7	174.89	1.645034021
7255	20.5	50.95	147.35	149.13	0.988064105
7258	8.5	50.5	286.66	275.49	1.040545936
7268	10.981	52.6969	162.35	93.9	1.728966986
7276	8.5833	50.2	211	261.83	0.805866402
728	-73.114	40.9352	260.19	263.28	0.988263446
7280	8.2	53.1667	1178.98	665.02	1.772848937
7282	8.01161	50.3827	334.8	200.32	1.671325879
